waveform	Gen		Ch1	
t0	12.05.2019  14:37:05,139865		12.05.2019  14:37:05,139852	
delta t	8,000000E-5		8,000000E-5	

time[0]	Gen	time[1]	Ch1
12.05.2019  14:37:05,139865	3,492944E-3	12.05.2019  14:37:05,139852	2,192639E-3
12.05.2019  14:37:05,139945	3,167868E-3	12.05.2019  14:37:05,139932	1,867563E-3
12.05.2019  14:37:05,140025	3,167868E-3	12.05.2019  14:37:05,140012	1,867563E-3
12.05.2019  14:37:05,140105	3,167868E-3	12.05.2019  14:37:05,140092	2,192639E-3
12.05.2019  14:37:05,140185	2,842791E-3	12.05.2019  14:37:05,140172	1,542486E-3
12.05.2019  14:37:05,140265	3,492944E-3	12.05.2019  14:37:05,140252	1,217410E-3
12.05.2019  14:37:05,140345	2,842791E-3	12.05.2019  14:37:05,140332	1,867563E-3
12.05.2019  14:37:05,140425	2,842791E-3	12.05.2019  14:37:05,140412	1,867563E-3
12.05.2019  14:37:05,140505	3,492944E-3	12.05.2019  14:37:05,140492	2,842791E-3
12.05.2019  14:37:05,140585	3,818020E-3	12.05.2019  14:37:05,140572	2,192639E-3
12.05.2019  14:37:05,140665	2,842791E-3	12.05.2019  14:37:05,140652	2,192639E-3
12.05.2019  14:37:05,140745	3,167868E-3	12.05.2019  14:37:05,140732	2,192639E-3
12.05.2019  14:37:05,140825	2,517715E-3	12.05.2019  14:37:05,140812	1,867563E-3
12.05.2019  14:37:05,140905	3,167868E-3	12.05.2019  14:37:05,140892	2,192639E-3
12.05.2019  14:37:05,140985	3,167868E-3	12.05.2019  14:37:05,140972	1,542486E-3
12.05.2019  14:37:05,141065	3,492944E-3	12.05.2019  14:37:05,141052	2,192639E-3
12.05.2019  14:37:05,141145	2,842791E-3	12.05.2019  14:37:05,141132	1,867563E-3
12.05.2019  14:37:05,141225	3,167868E-3	12.05.2019  14:37:05,141212	1,867563E-3
12.05.2019  14:37:05,141305	2,842791E-3	12.05.2019  14:37:05,141292	1,867563E-3
12.05.2019  14:37:05,141385	4,143096E-3	12.05.2019  14:37:05,141372	1,867563E-3
12.05.2019  14:37:05,141465	3,167868E-3	12.05.2019  14:37:05,141452	1,867563E-3
12.05.2019  14:37:05,141545	3,492944E-3	12.05.2019  14:37:05,141532	1,867563E-3
12.05.2019  14:37:05,141625	2,842791E-3	12.05.2019  14:37:05,141612	1,542486E-3
12.05.2019  14:37:05,141705	3,167868E-3	12.05.2019  14:37:05,141692	1,867563E-3
12.05.2019  14:37:05,141785	2,842791E-3	12.05.2019  14:37:05,141772	1,867563E-3
12.05.2019  14:37:05,141865	3,492944E-3	12.05.2019  14:37:05,141852	1,542486E-3
12.05.2019  14:37:05,141945	3,492944E-3	12.05.2019  14:37:05,141932	1,217410E-3
