waveform	Gen		Ch1	
t0	12.05.2019  14:37:57,033857		12.05.2019  14:37:57,033845	
delta t	8,000000E-5		8,000000E-5	

time[0]	Gen	time[1]	Ch1
12.05.2019  14:37:57,033857	2,192639E-3	12.05.2019  14:37:57,033845	2,192639E-3
12.05.2019  14:37:57,033937	2,517715E-3	12.05.2019  14:37:57,033925	1,867563E-3
12.05.2019  14:37:57,034017	2,842791E-3	12.05.2019  14:37:57,034005	1,542486E-3
12.05.2019  14:37:57,034097	3,167868E-3	12.05.2019  14:37:57,034085	1,867563E-3
12.05.2019  14:37:57,034177	2,192639E-3	12.05.2019  14:37:57,034165	2,192639E-3
12.05.2019  14:37:57,034257	3,492944E-3	12.05.2019  14:37:57,034245	1,867563E-3
12.05.2019  14:37:57,034337	2,842791E-3	12.05.2019  14:37:57,034325	8,923338E-4
12.05.2019  14:37:57,034417	3,492944E-3	12.05.2019  14:37:57,034405	1,867563E-3
12.05.2019  14:37:57,034497	3,492944E-3	12.05.2019  14:37:57,034485	1,217410E-3
12.05.2019  14:37:57,034577	2,842791E-3	12.05.2019  14:37:57,034565	1,867563E-3
12.05.2019  14:37:57,034657	2,517715E-3	12.05.2019  14:37:57,034645	1,867563E-3
12.05.2019  14:37:57,034737	3,167868E-3	12.05.2019  14:37:57,034725	1,542486E-3
12.05.2019  14:37:57,034817	3,492944E-3	12.05.2019  14:37:57,034805	1,542486E-3
12.05.2019  14:37:57,034897	2,842791E-3	12.05.2019  14:37:57,034885	1,542486E-3
12.05.2019  14:37:57,034977	3,492944E-3	12.05.2019  14:37:57,034965	1,542486E-3
12.05.2019  14:37:57,035057	2,517715E-3	12.05.2019  14:37:57,035045	1,542486E-3
12.05.2019  14:37:57,035137	3,167868E-3	12.05.2019  14:37:57,035125	2,192639E-3
12.05.2019  14:37:57,035217	3,492944E-3	12.05.2019  14:37:57,035205	1,542486E-3
12.05.2019  14:37:57,035297	2,842791E-3	12.05.2019  14:37:57,035285	2,192639E-3
12.05.2019  14:37:57,035377	2,842791E-3	12.05.2019  14:37:57,035365	8,923338E-4
12.05.2019  14:37:57,035457	3,167868E-3	12.05.2019  14:37:57,035445	2,192639E-3
12.05.2019  14:37:57,035537	2,842791E-3	12.05.2019  14:37:57,035525	1,217410E-3
12.05.2019  14:37:57,035617	3,492944E-3	12.05.2019  14:37:57,035605	2,192639E-3
12.05.2019  14:37:57,035697	3,492944E-3	12.05.2019  14:37:57,035685	1,867563E-3
12.05.2019  14:37:57,035777	3,167868E-3	12.05.2019  14:37:57,035765	1,542486E-3
12.05.2019  14:37:57,035857	3,818020E-3	12.05.2019  14:37:57,035845	2,192639E-3
12.05.2019  14:37:57,035937	3,167868E-3	12.05.2019  14:37:57,035925	1,542486E-3
12.05.2019  14:37:57,036017	3,167868E-3	12.05.2019  14:37:57,036005	1,867563E-3
12.05.2019  14:37:57,036097	2,842791E-3	12.05.2019  14:37:57,036085	1,542486E-3
12.05.2019  14:37:57,036177	3,167868E-3	12.05.2019  14:37:57,036165	1,542486E-3
12.05.2019  14:37:57,036257	3,167868E-3	12.05.2019  14:37:57,036245	2,192639E-3
12.05.2019  14:37:57,036337	3,167868E-3	12.05.2019  14:37:57,036325	1,542486E-3
12.05.2019  14:37:57,036417	3,167868E-3	12.05.2019  14:37:57,036405	1,867563E-3
12.05.2019  14:37:57,036497	3,492944E-3	12.05.2019  14:37:57,036485	2,192639E-3
12.05.2019  14:37:57,036577	3,818020E-3	12.05.2019  14:37:57,036565	2,192639E-3
12.05.2019  14:37:57,036657	3,167868E-3	12.05.2019  14:37:57,036645	1,867563E-3
12.05.2019  14:37:57,036737	2,842791E-3	12.05.2019  14:37:57,036725	1,867563E-3
12.05.2019  14:37:57,036817	3,492944E-3	12.05.2019  14:37:57,036805	1,867563E-3
12.05.2019  14:37:57,036897	3,492944E-3	12.05.2019  14:37:57,036885	2,517715E-3
12.05.2019  14:37:57,036977	3,167868E-3	12.05.2019  14:37:57,036965	1,542486E-3
12.05.2019  14:37:57,037057	2,842791E-3	12.05.2019  14:37:57,037045	1,867563E-3
12.05.2019  14:37:57,037137	2,517715E-3	12.05.2019  14:37:57,037125	1,217410E-3
